,Neighborhood,City,State,latlon,zipcode
269,West Plaza Estates,Glendale,Arizona,"33.540229, -112.185256",
270,Cashion,Avondale,Arizona,"33.435135, -112.299901",
271,Warner Ranch,Tempe,Arizona,"33.328438, -111.937053",85284.0
272,The Meadows,Peoria,Arizona,"33.787936, -112.33035",
273,Roberts,Tucson,Arizona,"32.19709, -110.828987",85710.0
274,Pecos Manor,Gilbert,Arizona,"33.28332, -111.662006",85212.0
275,Villages of Eastridge,Mesa,Arizona,"33.374, -111.611891",
276,Meridian Pointe,Mesa,Arizona,"33.352574, -111.586415",
277,Sun Meadows,Chandler,Arizona,"33.310045, -111.861363",85224.0
278,El Dorado at the Highlands,Gilbert,Arizona,"32.448577, -111.070511",
279,Crystal Garden,Avondale,Arizona,"33.462232, -112.313227",85392.0
280,Drexel Park,Tucson,Arizona,"32.148165, -110.945764",85706.0
281,Hacienda Estates,Yuma,Arizona,"32.553325, -114.510731",
282,Bridlewood,Peoria,Arizona,,
283,Granite Run,Peoria,Arizona,"33.787936, -112.33035",
284,Cole Park,Tempe,Arizona,"33.384607, -111.901175",
285,Sahuaro Park West,Glendale,Arizona,"33.571438, -112.196889",
286,Hartford Village,Chandler,Arizona,"35.975146, -112.124538",86023.0
287,Breckenridge Manor,Gilbert,Arizona,"33.350868, -111.794868",85233.0
288,Ashland Ranch,Gilbert,Arizona,"33.315476, -111.763204",
289,Upland Park,Avondale,Arizona,"32.495786, -114.782457",85349.0
290,Northgrove,Mesa,Arizona,"33.444984, -111.760829",85213.0
291,Paseo Trail,Chandler,Arizona,"33.310045, -111.861363",85224.0
292,Orchard Glen,Glendale,Arizona,"33.540229, -112.185256",
293,Rancho Buena,Tucson,Arizona,"32.19709, -110.828987",85710.0
294,El Rio Acres,Tucson,Arizona,"32.19709, -110.828987",85710.0
295,Lagos Vistoso,Chandler,Arizona,"33.212143, -111.837138",
296,Bell,Glendale,Arizona,"33.536166, -112.357806",85307.0
297,Tempe South Mountain,Tempe,Arizona,"33.403229, -111.923357",85282.0
298,Sierra Sunset,Yuma,Arizona,"32.659435, -114.497713",
299,Signal Butte Manor,Mesa,Arizona,"33.244603, -111.600932",85142.0
300,Western Skies,Gilbert,Arizona,"32.184704, -110.943082",85713.0
301,Walnut Meadows,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
302,Presidio in the Pines,Flagstaff,Arizona,"35.190767, -111.573928",86004.0
303,Trail Estates,Yuma,Arizona,"32.553325, -114.510731",
304,Agritopia,Gilbert,Arizona,"33.325629, -111.728674",
305,Cottage Grove Estates,Mesa,Arizona,"33.422793, -111.765222",85213.0
306,West Glen,Glendale,Arizona,"33.540229, -112.185256",
307,Cox Heights,Scottsdale,Arizona,"33.687647, -111.856562",85255.0
308,Crossings at Crossroads,Gilbert,Arizona,,
309,Vista del Sol,Yuma,Arizona,"32.259193, -110.911309",85716.0
310,Home Place,Chandler,Arizona,"33.310045, -111.861363",85224.0
311,Tres Rios Landing,Avondale,Arizona,"33.301136, -112.331817",
312,Crystal Point,Avondale,Arizona,"33.301136, -112.331817",
313,Kiwanis Park,Tempe,Arizona,"33.598335, -111.714224",85268.0
314,Shamrock Estates,Gilbert,Arizona,"33.240226, -111.724609",
315,Holdeman,Tempe,Arizona,"33.410234, -111.956399",85281.0
316,Indian Bend,Tempe,Arizona,"33.403229, -111.923357",85282.0
317,Boardwalk,Peoria,Arizona,"33.787936, -112.33035",
318,Andersen Springs,Chandler,Arizona,"33.310045, -111.861363",85224.0
319,Saguaro Miraflores,Tucson,Arizona,"32.22019, -110.8147",
320,Papago Park View,Tempe,Arizona,"33.440795, -111.936029",
321,Fox Crossing,Chandler,Arizona,"33.310045, -111.861363",85224.0
322,Windmills West,Chandler,Arizona,"33.319965, -111.909144",85226.0
323,Saratoga Square,Chandler,Arizona,"33.310045, -111.861363",85224.0
324,Sweetwater Estates,Glendale,Arizona,"33.540229, -112.185256",
325,Gililland,Tempe,Arizona,"33.418053, -111.956158",85281.0
326,Gilbert Ranch,Gilbert,Arizona,"33.307983, -111.757648",
327,Windscape,Peoria,Arizona,,
328,Lakeview Trails,Gilbert,Arizona,"33.37844, -111.752338",
329,Cambridge Estates,Avondale,Arizona,"33.301136, -112.331817",
330,Windgate Ranch,Scottsdale,Arizona,"33.27382, -111.695412",85297.0
331,Paseo,Scottsdale,Arizona,"33.268525, -111.725315",85297.0
332,Towne Meadows,Gilbert,Arizona,"33.370307, -111.703461",
333,Silverhawke,Gilbert,Arizona,,
334,Parkridge,Peoria,Arizona,"33.668335, -112.275265",
